ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
221,   Granja de Remelluri   2016 Rioja Lindes de Remelluri 'San Vincente' ," Granja de Remelluri, LABASTIDA WINERY AND OFFICES Carretera Rivas de Tereso, s/n 01330 Labastida, Alava. ", Spanien , Rioja , Rotwein ,2016," Garnacha, Tempranillo ", Rioja DOCa , 14.0 , trocken , Enthält Sulfite ," Barriquefaß, Spontangärung ", 14 - 18 , 2016+ , Naturkork , Robert Parker ," Käse, jung, Lamm, Rinderfilet ",In den Ausläufern der Sierra Cantabria,"Kalkstein, Lehm, Sandstein, z. T. auf Felsterassen",Lamm- und Rinderbraten,"Spontangärung, 17 Monate Ausbau im Barrique aus französischer Eiche", etwa 30 Minuten ,,,,,,,1," Der 2016 Lindes 'San Vincente' duftet intensiv nach saftiger Kirschfrucht, reifen roten Beeren, dunklen Waldbeeren, dazu kommen milde Gewürze, unterlegt von Vanille und rauchiger Holzwürze und feiner balsamischer Würze. Am Gaumen ist der Wein sehr charmant, hat eine saftige Frucht, wieder viel Kirsche, feiner süßer Kern, leicht pfeffrig. Dazu die würzige Holzaromatik, begleitet von etwas rustikaleren, jugendlichen Gerbstoffen.Etwas Luftkontakt im Dekanter schadet nicht. Versuchen Sie den 2016 San Vincente zu feinem Lamm, Rind oder frischem Brot mit Weichkäse. Dieser Wein ist wirklich begeisternd. Selten hat uns ein Rioja dieser Preisklasse derart viel Spaß bereitet. Luis Gutiérrez, wine advocate, Juli 2020: „It's interesting to compare the 2016 Lindes de Remelluri Viñedos de San Vicente de la Sonsierra with the wine from the same year but from the external suppliers from Labastida, as the two wines are produced in the same way, after a natural fermentation in small vats and oak casks and matured in a combination of barriques of different origins and aged for 13 months. The grapes from San Vicente usually achieve more ripeness, which is the case in this 2016. It's a little less precise and focused than the Labastida, especially on the nose. There is a little more rusticity on the palate, with some dusty tannins. Again, I think it represents the character of the village. 43,200 bottles produced. It was bottled in April and May 2018.“"
222,   Domaine Hubert Lamy   2019 Santenay Rouge 'Clos des Hâtes' ," Domaine Hubert Lamy, 20, Rue des Lavières, F-21190 SAINT-AUBIN ", Frankreich , Bourgogne , Rotwein ,2019, Blauer Spätburgunder/Pinot Noir/Pinot Nero ," AOC, Premiumwein ", 13 , trocken , Enthält Sulfite ,, 14 - 18 , 2023 - 2032 , Naturkork , Robert Parker ,,,,,,,,,,,,,1," William Kelley, Wine Advocate, Januar 2021: „The 2019 Santenay Clos des Hâtes is very promising, mingling notes of cassis and raspberries with hints of peony and spicy oak. Medium-bodied, lively and concentrated, it's deep and tightly wound, with superb depth at the core, tangy acids and refined tannins.“"
223,   Domaine Hubert Lamy   2018 Santenay Rouge 'Clos des Hâtes' ," Domaine Hubert Lamy, 20, Rue des Lavières, F-21190 SAINT-AUBIN ", Frankreich , Bourgogne , Rotwein ,2018, Blauer Spätburgunder/Pinot Noir/Pinot Nero ," AOC, Premiumwein ", 13 , trocken , Enthält Sulfite ,, 14 - 18 , 2022 - 2030 , Naturkork , Robert Parker ,,,,,,,,,,,,,1," William Kelley, wine advocate, Februar 2020: „The 2018 Santenay Clos des Hâtes soars from the glass with scents of ripe berry fruit, spices, dark chocolate and potpourri. Medium to full-bodied, perfumed and textural, this is a deep, rich Santenay that's muscular but elegant, confirming Lamy's prowess with Pinot Noir.“"
224,   Cantina Bartolo Mascarello   2019 Langhe Freisa ," Cantina Bartolo Mascarello, Bartolo Mascarello, Via Roma 15, 12060 Barolo (CN), ITALIEN ", Italien , Piemont , Rotwein ,2019, Freisa , DOC , 13.5 , trocken , Enthält Sulfite ," Betontank, großes Holzfaß ", 14 - 18 ,, Naturkork ,,,,,,,,,,,,,,1," Der Wein hat eine etwas hellere Farbe und duftet nach Kräutern und reifen Pflaumen. Am Gaumen ist er kristallklar und wunderbar ausgewogen. Auffallend ist die kompromisslose und puristische Stilistik, es ist ein Wein den man genießen kann ohne lange warten zu müssen."
225,   Cantina Bartolo Mascarello   2016 Barolo ," Cantina Bartolo Mascarello, Bartolo Mascarello, Via Roma 15, 12060 Barolo (CN), ITALIEN ", Italien , Piemont , Rotwein ,2016, Nebbiolo , DOCG , 14.5 , trocken , Enthält Sulfite ,, 14 - 18 , 2026 - 2060 , Naturkork ," Antonio Galloni Vinous, Robert Parker ",,,,,,,,,,,,,1," Antonio Galloni, Vinous, Februar 2020: „Maria Teresa Mascarello made one of the wines of the vintage in 2016. Her 2016 Barolo is soft and sensual, but also quite hushed - as many wines are in this vintage in the early going. Medium in body with silky tannins and exceptional balance, the 2016 has so much to offer, but it is also going to require quite a bit of time to be at its very best. Just after bottling, the 2016 was more generous and rich, but it is decidedly closed today. I wouldn't dream of touching a bottle before age ten, and even that will be early for a super-classic Barolo. Rose petal, mint, crushed flowers, anise and blood orange develop with time in the glass, but the 2016 is a Barolo for readers who can afford to be patient.“ Monica Larner, wine advocate, Juli 2020: „This is the stuff of dreams. Tasted so young, I did a lot of coaxing to nudge the wine along, thanks to a double decant and a few extra hours in an open bottle. I tasted both samples I had over the course of a few weeks. Those efforts served well, but the wine remains packed tight and full of nervous energy regardless, indicating that its true potential won't be seen for another 10 or 20 years, or likely more. The Bartolo Mascarello 2016 Barolo is a true icon of the vintage. The approach is elongated and silky, like lifting honey from a jar. The aromas are chiseled and focused with wild berry, licorice, candied orange peel, campfire ash, rusted iron, crushed graphite and pencil shaving. The wine's personality is downplayed, elegant and demure in one tasting but exuberant and expressive in the next. The tannins show snap and crunch, indicating they will drive the wine forward over many years of cellar age. This is one of those rare wines that is poised to improve with each increment of time. Structurally, it is perfect. If we were to create a template for an aspirational Barolo, this would be it.“"
226,   Bodegas Castaño   2018 GSM ," Bodegas Castaño, Av. Fuente Álamo, 3, 30510 Yecla, Murcia, Spanien ", Spanien , Yecla , Rotwein ,2018," Garnacha, Mourvèdre/Monastrell, Syrah ", DO , 14 , trocken , Enthält Sulfite ," 4 Monate Barriquefaß, Edelstahltank ", 14 - 18 , bis 2026+ , Kork , Wein Direktimport ,,,,,"60% Monastrell, 25% Syrah, 15% Garnacha Tinto",,,,,,,,1," Der 2018 GSM hat eine intensive dunkelrote Farbe. In der Nase üppige Aromen von reifen roten Früchten und süßem Gebäck. Am Gaumen ist der 2018 GSM saftig und sehr fruchtig. Zu den genannten Aromen kommen noch die von roten Pflaumen, Brombeeren, ein Hauch Holz und Lakritze dazu. Die Struktur ist samtig und weich, die sanften Gerbstoffe sind perfekt eingebunden. Die Verabschiedung erfolgt elegant und überraschend lang anhaltend."
227,   Weingut Kracher   2018 Zweigelt Beerenauslese 375 ml ," Weingut Kracher, Apetloner Straße 37 7142 Illmitz Burgenland Österreich ", Österreich ," Burgenland, Neusiedlersee ", Rotwein ,2018, Zweigelt , Qualitätswein , 10.5 , edelsüß , Enthält Sulfite , Barriquefaß , 10 - 12 , bis 2030 , Naturkork ,," herzhaften Wildgerichten, reifen Weichkäsen, Schokoladedessert ",,,,In Barriquefässern vergoren und 6 Monate gereift.,, 6.9 , 140 ,,,,,1," Das helle Kirschrot funkelt im Glas. In der Nase Aromen unter anderem von reifen Süßkirschen, reifen Erdbeeren und getrockneten Pflaumen.Am Gaumen süßer Auftakt mit frischer, harmonischer Säure, komplexe Frucht, deutlicher Rotweincharakter mit Aromen von roten Johannisbeeren, Kirschkompott und Erdbeerkonfitüre. Die feinen Gerbstoffe sind ein zusätzlicher Hinweis auf die verwendete, rote Rebsorte, passen sich aber perfekt ein. Etwas Rumtopf- und frische Zitrusaromen runden den perfekten Eindruck ab. Ideal zu Schokoladendesserts."
228,"   Manincor, Bioweingut   2018 Lagrein 'Rubatsch' "," Manincor, Bioweingut, St. Josef am See 4, I-39052 Kaltern ", Italien , Südtirol/Alto Adige , Rotwein ,2018, Lagrein , DOC , 13 , trocken , Enthält Sulfite , Holzfaß , 14 - 18 , bis 2027 , Naturkork ,," gebratenem dunklen Fleisch, Grillfleisch, kräftigen Vorspeisen, Käse, reif, Wildgericht ",,,,,, 6.4 , 1.2 , Zertifizierung Demeter ,IT BIO 013,,,1," Der 2018 Lagrein Rubatsch ist schwarz wie die Nacht, allerdings mit purpurfarbenen Reflexen. In der Nase satte Aromen von reifen Pflaumen, reifen Süßkirschen, Brombeeren, Süßholz, Holunder, und etwas Karamel. Am Gaumen samtig weicher Auftakt, gefolgt von präsenten, aber reifen Gerbstoffen, bereits jetzt ist der Wein ausgesprochen harmonisch und präsent, sollte aber auf jeden Fall dekantiert und in großen Bordeauxgläsern serviert werden."
229,"   Az. Agr. Fontodi   2016 Syrah ""Case Via"" "," Az. Agr. Fontodi, Localita' Candialle, Kilometro 34, IV, SR222, 50020 Panzano In Chianti ", Italien , Toscana , Rotwein ,2016, Syrah , IGT Colli Toscana Centrale , 15.0 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , bis 2035 , Naturkork , Robert Parker ,,,,,,,,,,IT BIO 014,,,1," Monica Larner, wine advocate, September 2019: „I love the richness, coupled by the finesse of the 2016 Syrah Case Via. This beautiful expression hits that elusive intersection of elegance and power with bullseye precision. This is an impressive effort that brings forth beautifully balanced aromas of dark fruit, blackberry, spice, leather and earthy terracotta. I'd love to come back and try this Tuscan Syrah ten years from now.“"
230,"   Gago Viticultores de Toro, Telmo Rodriguez   2017 Pago La Jara "," Gago Viticultores de Toro, Telmo Rodriguez, Gago Viticultores de Toro, Ctra. Morales de Toro, 49800 Toto, Zamora, Spanien ", Spanien , Toro , Rotwein ,2016,," DO, Premiumwein ", 14 , trocken , Enthält Sulfite ,, 14 - 18 , bis 2030+ , Naturkork ,," Lammkeule, Vorspeisen ",,,,,,,, Bio nach EU Ökoverordnung ,,,,1,
231,   Gantenbein   2018 Pinot Noir trocken Barrique ," Gantenbein, Gantenbein Wein Martha & Daniel Gantenbein Ausserdorf 38 CH-7306 Fläsch ", Schweiz ," Graubünden, Bündner Herrschaft ", Rotwein ,2018, Blauer Spätburgunder/Pinot Noir/Pinot Nero , AOC , 13.5 , trocken , Enthält Sulfite ,, 14 - 18 , bis 2032 , Naturkork ,,,,,,,,,,,,,,1,
232,"   Domaine Sérol, Bioweingut   2018 Rouge 'Oudan' "," Domaine Sérol, Bioweingut, Domaine Sérol, Les Estinaudes, F-42370 Renaison ", Frankreich , Loire , Rotwein ,2018, Gamay , Côte Roannaise AC , 12 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , bis 2024+ , Naturkork ,," Geschmortem Rindfleisch, kräftig gewürzten Speisen ",,,,,,,," Bio nach EU Ökoverordnung, Certifié Agriculture Biologique AB ",FR-Bio-01,,,1," Der Wein hat ein wunderschönes, leuchtendes Granatrot. In der Nase hat er herrliche Aromen von frischen Süß- und Sauerkirschen, reifen roten Früchten und feine Gewürze. Am Gaumen ist er dicht und samtig-saftig, mit feiner Mineralik und großartiger, eleganter Struktur."
233,"   Domaine Sérol, Bioweingut   2018 Rouge 'Perdrizière' "," Domaine Sérol, Bioweingut, Domaine Sérol, Les Estinaudes, F-42370 Renaison ", Frankreich , Loire , Rotwein ,2018, Gamay , Côte Roannaise AC , 12.5 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , bis 2024+ , Naturkork ,," Geschmortem Rindfleisch, kräftig gewürzten Speisen ",,,,,,,," Bio nach EU Ökoverordnung, Certifié Agriculture Biologique AB ",FR-Bio-01,,,1," Der 2018 Perdrizière hat wunderschöne Aromen von roten Früchten wie frischen Himbeeren, eine feine leicht rauchige Mineralik sowie ausgeprägte Aromen von Gewürzen. Am Gaumen startet er sanft und weich, mit saftiger, tiefer Frucht, klarer Mineralik und wunderbarem Aromenspiel."
234,"   Domaine Sérol, Bioweingut   2018 Rouge 'Chez Coste' "," Domaine Sérol, Bioweingut, Domaine Sérol, Les Estinaudes, F-42370 Renaison ", Frankreich , Loire , Rotwein ,2018, Gamay , Côte Roannaise AC , 13.5 , trocken , Enthält Sulfite , Amphore , 14 - 18 , bis 2026+ , Naturkork ,," Geschmortem Rindfleisch, kräftig gewürzten Speisen ",,,,,,,," Bio nach EU Ökoverordnung, Certifié Agriculture Biologique AB ",FR-Bio-01,,,1,
235,"   Caparzo   2015 Brunello di Montalcino ""La Casa"" "," Caparzo, Localita' Caparzo, Montalcino, Si 53024, 53024 Montalcino SI, Italien ", Italien , Toscana , Rotwein ,2015, Sangiovese , DOCG , 13.5 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2024 - 2031+ , Naturkork ," Antonio Galloni Vinous, Robert Parker ",,"La Casa, 5 ha, Hügel von Monsindoli, 275 m Höhe, süd- und südostliche Ausrichtung",Glimmerschiefer- und Lehmboden,,,,,,,,,,1," Ian D’Agata, Vinous, April 2020: „Good full ruby. Brooding aromas of cassis, menthol, chocolate and minerals. Dense and juicy but slightly hard at present, with a floral nuance and nicely integrated acidity lending precision to the red fruit and violet flavors. The slightly tough tannins and the dumbed down fruit leave an impression of medicinal austerity on the long mouthcoating finish. Needs time.“ Monica Larner, wine advocate, Januar 2020: „Caparzo's 2015 Brunello di Montalcino Vigna La Casa opens to a very fine and precise bouquet that is carefully assembled with crisp berry notes, smoke, tar, licorice and toasted almond. The wine remains very tight and crisp overall, but it does cede to more volume and puts on more weight as it opens in the glass. There is a pretty note of crushed stone or granite on the close. The La Casa vineyard site is characterized by clay soils broken up with shards of Galestro schist that adds to the cool and fresh profile of the wine. This lovely single-vineyard Brunello is almost ready to drink (wait a few more years), but it should also withstand the next 10 years of cellar aging should you decide to put your bottle aside. Some 15,000 bottles were produced. The wine was bottled in August 2019 and released in January 2020.“"
236,   Domaine de Bila Haut   2018 Les Vignes de Bila Haut Rouge ," Domaine de Bila Haut, 9 Rue Rampe du Sarrat F-66720 Latour-de-France ", Frankreich , Roussillon , Rotwein ,2018," Carignan, Grenache Noir, Syrah ", Côtes du Roussillon Villages , 14 , trocken , Enthält Sulfite , Cuve , 14 - 18 , bis 2024+ , Kork , Wein Direktimport ," kraftvollen Speisen, Lamm, Rind ",Oberes Tal des Agly,Gneis und Schiefer,,"Maischegärung in der Cuve, Ausbau im Faß", etwa 30 Minuten ,,,,,,,1," Der 2018 Les Vignes de Bila Haut Rouge hat ein frisches rubinrot mit violetten Reflexen. In der Nase mit leicht rauchigen Aromen, begleitet von satten Schwarzkirsch-, Brombeer-, Himbeer- und Pflaumenaromen, dazu kommen milde Gewürze und eine feine Veilchenaromatik im Hintergrund.Am Gaumen ist der 2018 Côtes du Roussillon frisch, mit präsenten aber feinen Gerbstoffen, zupackend und würzig. Er ist ein wunderbarer Wein zu leichten Grilladen und Salami mit Knoblauch."
237,   Vietti   2016 Barolo Castiglione ," Vietti, Piazza Vittorio Veneto, 5, 12060 Castiglione Falletto CN, Italien ", Italien , Piemont , Rotwein ,2016, Nebbiolo , DOCG , 14.5 , trocken , Enthält Sulfite ,, 14 - 18 , 2024 - 2040 , Naturkork , Antonio Galloni Vinous ,,,,,,,,,,,,,1," Antonio Galloni, Vinous, Februar 2020: „The 2016 Barolo Castiglione is a dazzling wine that will show readers just how compelling this vintage is, even among entry-level wines from top producers. Rich, ample and explosive, the 2016 possesses tremendous richness and resonance from the very first taste. Bright red cherry and red plum fruit, wild flowers, mint, blood orange and spice build as this sumptuous, dramatic Barolo shows all it's got. As always, the Castiglione is built on a core of fruit from Ravera. In 2016, the Castiglione benefits from the inclusion of several new sites, including Ginestra, Mosconi, Bricco Ravera (in Monforte), Le Coste, Costabelle, Meriame, Briccolina and Codana. All I can say is: What a wine!“"
238,   Vietti   2016 Barolo Brunate ," Vietti, Piazza Vittorio Veneto, 5, 12060 Castiglione Falletto CN, Italien ", Italien , Piemont , Rotwein ,2016, Nebbiolo ," Barolo DOCG, Premiumwein ", 15.0 , trocken , Enthält Sulfite ,, 14 - 18 , 2024 - 2040 , Naturkork , Antonio Galloni Vinous ,,,Kalk-Lehm-Sand,,,,,,,,,,1," Antonio Galloni, Vinous, Februar 2020: „The 2016 Barolo Brunate is a powerful, vertical wine endowed with tremendous explosive energy and intensity. Crushed flowers, mint, spice and dried flowers open up in the glass, but it is the wine's energy that really elevates it into the stratosphere. In the glass, the 2016 is dark, somber and full of the sepia-toned nuances that are such signatures of this great Barolo vineyard. This is the first vintage that includes Vietti's newest parcel in Brunate. Perhaps more importantly, though, the 2016 is the first vintage in which French oak is minimal. This is a stunning vintage for the Brunate.“"
239,   Vietti   2017 Langhe Nebbiolo 'Perbacco' ," Vietti, Piazza Vittorio Veneto, 5, 12060 Castiglione Falletto CN, Italien ", Italien , Piemont , Rotwein ,2017, Nebbiolo , DOCG , 14.0 , trocken , Enthält Sulfite ,, 14 - 18 ,, Naturkork , Antonio Galloni Vinous ,,,,,,,,,,,,,1," Der Wein ist kraftvoll strukturiert, er hat eine ausladende Frucht mit komplexen Aromen von roten Beeren, etwas Menthol, Gewürze und kandierte Früchten.Am Gaumen ist er dicht, wieder kraftvoll, straffe Gerbstoffe und der süße Fruchtkern gehen eine tolle Verbindung ein. Er wird mit zunehmender Reife an Eleganz gewinnen und seine Komplexität weiter entwickeln. Antonio Galloni, Vinous, März 2020: „The 2017 Langhe Nebbiolo Perbacco is silky, perfumed and pretty. Sweet floral notes, mint, chalk and sweet red berry fruit are all laced together in this very pretty, inviting wine. Pliant and racy, the Perbacco is a terrific introduction to the Vietti wines.“"
240,   Fattoria Le Pupille   2017 SAFFREDI ," Fattoria Le Pupille, Piagge Del Maiano 92 A I-58100 Grosseto GR ", Italien , Toscana , Rotwein ,2017," Cabernet Sauvignon, Merlot, Petit Verdot "," Premiumwein, Toscana IGT ", 14.5 , trocken , Enthält Sulfite , Holzfaß , 16 - 18 , 2020 - 2040 , Naturkork , Robert Parker ,,,Lehm mit Kalk,,"18 Monate Ausbau im Holzfaß, 75% neues und 25% gebraucht Holz", etwa 60 Minuten ,,,,,,,1," Monica Larner, wine advocate, August 2019: „Wow, there is a very impressive freshness here that defies the heat of this vintage. The 2017 Saffredi does not seem like a 2017 at all. Now celebrating its 30th birthday, Saffredi is 60% Cabernet Sauvignon, 30% Merlot and 10% Petit Verdot. Thanks to the vineyard's proximity to the sea, leaving leaves on the vines and the sharp diurnal shifts of the area, the fruit was able to ripen in a balanced manner despite the hot and dry summer. The team at Fattoria le Pupille knew they would have to be ready to harvest early and lose some their yields, and they did. In the end, production was down 25%, but the result is a fresh, thick and beautiful red made with ripe fruit and dark concentration. This is a great effort from Fattoria le Pupille. This wine will be released in November.“"
241,   Fattoria Le Pupille   2016 Poggio Valente Magnum ," Fattoria Le Pupille, Piagge Del Maiano 92 A I-58100 Grosseto GR ", Italien , Toscana , Rotwein ,2016, Sangiovese , Toscana IGT , 14 , trocken , Enthält Sulfite , Holzfaß , 14 - 18 , bis 2030 , Naturkork , Robert Parker ,,"Poggio Valente, 13 Hektar, 280 m ü. N.N.","Lehm, Sand aufliegend auf Sandstein",,"Vinifikation im Edelstahl, dann 14 Monate Ausbau im Holzfaß", etwa 30 Minuten ,,,,,,,1," Monica Larner, wine advocate, Mai 2019: „This wine has been a single-vineyard Sangiovese since Fattoria le Pupille removed the Merlot from the blend in 2012. The 2016 Poggio Valente is precise and direct, the result of a lot of enological brain power and Coastal Tuscany's answer to Brunello Montalcino. It's an excellent expression of Sangiovese, with pretty floral and fruity notes, earthy tones and an unforgettable cameo appearance of blossoming rose. Give the wine ample time to open in the glass.“"
242,   Azienda Agricola Le Ragnaie   2015 Brunello di Montalcino ," Azienda Agricola Le Ragnaie, Azienda Agricola Le Ragnaie, località Le Ragnaie 264, I-53024 Montalcino (SI) ", Italien , Toscana , Rotwein ,2015, Sangiovese Grosso , DOCG , 14.5 , trocken , Enthält Sulfite ,, 14 - 18 , 2021 - 2033 , Naturkork ," Antonio Galloni Vinous, Robert Parker ",,,,,, etwa 30 Minuten ,,,,,,,1," Eric Guido, Vinous, April 2020: „Classic to the core, Le Ragnaie's Brunello di Montalcino lifts from the glass with a savory, layered display of forest berry, offset by smoky minerals, alpine-inspired herbs, dark soil tones, tobacco and a hint of animal musk. On the palate, silky textures flesh out across the senses with notes of ripe cherry, sweet spice, and a buzz of bright acids. The finish is long, fresh, nearly salty, incredibly satisfying, and with energy to burn as pretty red fruits, spice, and sweet inner florals linger long. This may not be a Le Ragnaie for the ages, but it sure is a wonderfully balanced and enjoyable Brunello today that will thrill lovers of Sangiovese.“ Monica Larner, wine advocate, Januar 2020: „The Le Ragnaie 2015 Brunello di Montalcino doles out impressive intensity and depth. This is a tour de force expression of Sangiovese that travels the entire continuum of Sangiovese, starting with wild cherry and unfolding to later reveal pressed blue flowers, spice and potting soil. This is textbook Brunello on all levels, and I am happily excited by this particular vintage. Fruit for this wine is sourced from four unique sites, all located in different parts of the appellation. This explains the wine's pan-Brunello appeal. The 2015 growing season brings out personality and aromatic abundance with slightly softer and more approachable contours. The acidity feels tame in 2015. Continuing with that thought, I would recommend this wine for near- and medium-term drinking because it performs so nicely now, straight out of the gate. Some 30,000 bottles were made. This wine will released in February 2020.“"
243,   Azienda Agricola Le Ragnaie   2015 Brunello di Montalcino 'Ragnaie V.V.' ," Azienda Agricola Le Ragnaie, Azienda Agricola Le Ragnaie, località Le Ragnaie 264, I-53024 Montalcino (SI) ", Italien , Toscana , Rotwein ,2015, Sangiovese Grosso , DOCG , 15.0 , trocken , Enthält Sulfite ,, 14 - 18 , 2021 - 2036 , Naturkork ," Antonio Galloni Vinous, Robert Parker ",,,,,, etwa 30 Minuten ,,,,,,,1," Eric Guido, Vinous, April 2020: „The 2015 Brunello di Montalcino VV shows ripe strawberries with dusty dry soil tones, hints of subtle spice and florals. On the palate, silky textures usher in ripe red berry fruits, with sweet spices and cooling, savory mint, as salty minerality saturates, and zesty acids make the mouth water. The finish is long, taking a turn toward tart red fruits, further accentuated by lingering minerality and a slight structural tug, which promises a beautiful evolution over the medium term. It’s incredibly spicy, grippy, and youthful today, but the V.V. has all the necessary ingredients to be amazing in a few years’ time.“ Monica Larner, wine advocate, Januar 2020: „Wild cherries, dried blueberries and dark currants open the bouquet of Le Ragnaie's 2015 Brunello di Montalcino Ragnaie V. V. The cherry signature is forefront, and it emerges with medicinal and balsamic notes towed in close. Fruit comes from the estate's oldest vines (aged 50 years old) planted in the highest part of the appellation (at 600 meters above sea level). The bouquet is seamless, putting forth a chain of similar fruit and spice-related aromas that fall neatly in line. This effect is further reinforced as the wine evolves steadily in the glass. Of the various Brunello Selezioni presented by Le Ragnaie, this wine is the most classic in approach with a slightly more closed and austere personality that will serve it well as it continues its bottle evolution. The wine was bottled in April 2019 and will hit the market in February 2020. Only 3,500 bottles were made.“"
244,   Azienda Agricola Le Ragnaie   2015 Brunello di Montalcino 'Casanovina Montosoli' Magnum ," Azienda Agricola Le Ragnaie, Azienda Agricola Le Ragnaie, località Le Ragnaie 264, I-53024 Montalcino (SI) ", Italien , Toscana , Rotwein ,2015, Sangiovese Grosso , DOCG , 15.0 , trocken , Enthält Sulfite ,, 14 - 18 , 2022 - 2038 , Naturkork ," Antonio Galloni Vinous, Robert Parker ",,,,,, etwa 30 Minuten ,,,,,,,1," Eric Guido, Vinous, April 2020: „Dark and brooding today, the 2015 Brunello di Montalcino Casanovina Montosoli lifts from the glass with an alluring display of mineral-infused black cherry, complemented by hints of mint leaf, then given further depths, as dark soil tones and a hint of animal musk develops in the glass. The 2015 races across the palate with velvety textures, yet it is somehow lifted, as notes of strawberry and cedar give way to savory herbs and minerals with pretty inner florals. The finish is long, revealing a web of complex tannins upon the senses, as hints of wild berry fruit lingers with just enough residual acids to keep the expression fresh. The 2015 is just a baby today. It shows so much tension and density, with layers of unseen depth that could one day result in this being one of the best wines of the vintage.“ Monica Larner, wine advocate, Januar 2020: „Here is a new wine from Le Ragnaie with fruit coming exclusively from the celebrated Montosoli hill. Le Ragnaie's 2015 Brunello di Montalcino Casanovina Montosoli veers toward graceful tones of wild cherry, pressed blueberries and those little bluebell violets that grow deep in the forest. The aromas here are more pungent and vertical in character with cola and medicinal tones that rise directly from the top. The mouthfeel is compact and lean, with long, medium-weight staying power that leaves a precise and sharply chiseled trail of fruit flavors. This Casanovina Montosoli expression is a real treat thanks to those lingering tones of crushed mineral and smoke. These are very encouraging results. Of these new releases from Le Ragnaie, my money is on this bottle for the best cellar-aging performance. It was bottled in April 2019 and will go to market in February 2020. Some 3,500 bottles were produced.“"
245,   Weingut Markus Molitor   2015 Pinot Noir Brauneberger Klostergarten *** ," Weingut Markus Molitor, Weingut Markus Molitor, Haus Klosterberg, 54470 Bernkastel-Wehlen ", Deutschland , Mosel , Rotwein ,2015, Blauer Spätburgunder/Pinot Noir/Pinot Nero , Qualitätswein , 13 , trocken , Enthält Sulfite ,, 14 - 18 , 2022 - 2040 , Naturkork , Robert Parker ,,Brauneberger Klostergarten,,,,,,,,,,,1," Stephan Reinhardt, wine advocate, März 2018: „The 2014 Pinot Noir Brauneberger Klostergarten ** is clear, fresh, precise and pure yet deep and intense on the delicate nose that displays deep, flinty, perfectly ripe and fleshy red fruit intertwined with nougat, smoke and toasty aromas as well as slatey and meaty notes. Silky, round and elegant on the palate, with perfectly ripe, beautifully concentrated fruit and a lingering sweetness and intensity, this is an alluring Pinot Noir from Brauneberg. The wine is tight and concentrated, very juicy and highly finessed and provided with an exciting mineral freshness. This 2014 is pure and—in a discreet way—lush and powerful, revealing an intense, very persistent yet refined finish with silky tannins. This is a great, very fine and vital Pinot Noir from the Mosel; almost 5,000 bottles were filled in August 2017. Tasted March 2018.“"
246,"   Domaine Lorenzon   2018 Mercurey Village Rouge ""Le Chapître"" "," Domaine Lorenzon, 14 Rue du Réu, 71640 Mercurey ", Frankreich , Bourgogne , Rotwein ,2018, Blauer Spätburgunder/Pinot Noir/Pinot Nero , AOC , 13 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2022 - 2038 , Naturkork ," Robert Parker, Wein Direktimport ",,,,,, etwa 30 Minuten ,,,,,,,1," Die Nase des 2018 Mercurey Village „Le Châpitre“ ist sehr aromatisch, die intensive Frucht duftet nach frisch gequetschten Süß- und Sauerkirschen, schwarzen Johannisbeeren, frischen Himbeeren und milden Gewürzen. Die Mineralik geht dabei fast schon ein wenig unter.Am Gaumen startet er saftig, intensiv-fruchtig und dabei aber immer noch elegant. Die klare, reintönige Frucht wird von feinkörnigen Gerbstoffen begleitet. Die Struktur ist bereits jetzt überraschend harmonisch, wie bereits bei den Weißweinen mangelt es nicht an Kraft, die aber sehr klar und gradlinig definiert ist. Erst im würzigen Abgang merkt man an den dezent zupackenden Gerbstoffen, wie jung dieser Wein noch ist. William Kelley, wine advocate, Juni 2020: „The 2018 Mercurey Le Châpitre has once again turned out very nicely, offering up a brooding bouquet of cassis, black cherries and plums, framed by a deft touch of oak. Medium to full-bodied, supple and velvety, with a deep core of fruit, lively acids and powdery tannins, it's the most immediate of Lorenzon's reds.“"
